Designator,Mid X,Mid Y,Rotation,Layer
C1,231.675,-95.8,270.0,bottom
C10,248.3,-82.65,270.0,bottom
C11,223.45,-94.925,90.0,bottom
C12,224.975,-94.925,90.0,bottom
C2,241.112501,-94.37,270.0,bottom
C3,240.7125,-82.820001,90.0,bottom
C4,225.8,-90.45,180.0,bottom
C5,249.05,-80.1,180.0,bottom
C6,249.55,-72.0,90.0,bottom
C7,222.55,-67.85,270.0,bottom
C8,228.825,-58.035,0.0,bottom
C9,248.3,-88.0,90.0,bottom
D1,213.75,-76.475,270.0,bottom
D2,215.775,-76.475,270.0,bottom
D3,217.8,-76.45,270.0,bottom
D4,219.855,-76.45,270.0,bottom
J1,263.8,-77.25,270.0,bottom
J2,227.9,-101.0,90.0,bottom
J3,232.3,-111.85,270.0,bottom
R1,226.525,-93.225,90.0,bottom
R10,235.65,-81.4,270.0,bottom
R11,234.1,-81.4,270.0,bottom
R12,220.425,-88.375,0.0,bottom
R13,220.425,-86.8,0.0,bottom
R14,220.425,-85.225,0.0,bottom
R15,220.425,-83.64,0.0,bottom
R16,248.275,-66.525,45.0,bottom
R17,245.75,-90.95,225.0,bottom
R18,239.675,-97.275,225.0,bottom
R19,233.85,-103.025,45.0,bottom
R2,236.4,-54.925,315.0,bottom
R20,245.525,-79.1,180.0,bottom
R21,242.225,-79.1,180.0,bottom
R3,241.275,-59.775,315.0,bottom
R4,261.825,-83.6,0.0,bottom
R5,261.75,-70.8,0.0,bottom
R6,247.7,-75.95,180.0,bottom
R7,247.7,-77.55,180.0,bottom
R8,223.3,-63.9,0.0,bottom
R9,223.3,-65.5,0.0,bottom
SW1,239.75,-49.925,225.0,bottom
SW2,244.525,-54.65,225.0,bottom
SW3,249.25,-59.425,225.0,bottom
SW4,249.590131,-95.584869,135.0,bottom
SW5,244.925,-100.25,135.0,bottom
SW6,240.265131,-104.909869,135.0,bottom
TP1,245.025,-46.375,315.0,bottom
TP10,249.5,-104.225,45.0,bottom
TP11,245.625,-108.225,45.0,bottom
TP12,242.1,-66.2,270.0,bottom
TP13,238.175,-110.925,270.0,bottom
TP2,248.8,-50.3,135.0,bottom
TP3,244.55,-73.55,180.0,bottom
TP4,244.55,-81.2,180.0,bottom
TP5,229.55,-94.0,270.0,bottom
TP6,252.625,-54.125,135.0,bottom
TP7,235.525,-61.425,180.0,bottom
TP8,235.55,-63.675,0.0,bottom
TP9,252.875,-100.8,45.0,bottom
U1,235.9,-88.7,0.0,bottom
U2,253.8,-76.55,180.0,bottom
U3,229.425,-62.235,180.0,bottom
U4,229.425,-68.685,180.0,bottom
U5,253.3,-85.3,90.0,bottom
