Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C2, C3, C4, C5, C6, C7, C8",0603,10,100nF,C14663
"C10, C9",0805,2,22uF,C45783
"D1, D2, D3, D4",0805,4,LED,C84256
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
"J2, J3",PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,2,Conn_01x03,
JP1,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,1,SolderJumper_3_Bridged12,
R1,0603,1,1,C22936
"R10, R11, R20, R6, R7",0603,5,1k,C21190
"R12, R13, R14, R15",0603,4,470,C23179
"R16, R17, R18, R19, R2, R3",0603,6,10k,C25804
R21,0603,1,2k,C22975
"R4, R5",0603,2,5.1k,C23186
"R8, R9",0603,2,4.7k,C23162
"SW1, SW2, SW3, SW4, SW5, SW6",SW_Push_1P1T_NO_6x6mm_H9.5mm,6,SW_Push,C2888576
"TP1, TP10, TP11, TP12, TP13, TP2, TP6, TP9",TestPoint_CLIP,8,TestPoint,
TP3,TestPoint_CLIP,1,RX,
TP4,TestPoint_CLIP,1,TX,
TP5,TestPoint_CLIP,1,VMCU,
TP7,TestPoint_CLIP,1,SCL,
TP8,TestPoint_CLIP,1,SDA,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U2,SOP-8_3.9x4.9mm_P1.27mm,1,CH340N,C2977777
"U3, U4",SOIC-8_3.9x4.9mm_P1.27mm,2,AIP24C02ASA8,C3024252
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
